Frequency,src,in1,in2,in3,in4,in5,in6
1122.018454	0.100000,0.000000	-0.117059,-0.054425	-0.017059,-0.054425	-0.000010,-0.000017	-0.117049,-0.054407	-0.017048,-0.054407	0.000000,0.000000
1258.925412	0.100000,0.000000	-0.121337,-0.043216	-0.021336,-0.043216	0.000002,-0.000016	-0.121339,-0.043199	-0.021339,-0.043199	0.000000,0.000000
1412.537545	0.100000,0.000000	-0.122594,-0.033008	-0.022593,-0.033008	0.000029,-0.000013	-0.122623,-0.032994	-0.022622,-0.032994	0.000000,0.000000
1584.893192	0.100000,0.000000	-0.121819,-0.024400	-0.021819,-0.024400	0.000014,-0.000022	-0.121834,-0.024377	-0.021833,-0.024377	0.000000,0.000000
1778.279410	0.100000,0.000000	-0.119856,-0.017542	-0.019855,-0.017542	-0.000021,-0.000012	-0.119835,-0.017530	-0.019834,-0.017530	0.000000,0.000000
1995.262315	0.100000,0.000000	-0.117300,-0.012410	-0.017300,-0.012410	-0.000018,-0.000014	-0.117281,-0.012396	-0.017281,-0.012396	0.000000,0.000000
2238.721139	0.100000,0.000000	-0.114676,-0.008620	-0.014675,-0.008620	-0.000000,-0.000001	-0.114675,-0.008618	-0.014674,-0.008618	0.000000,0.000000
2511.886432	0.100000,0.000000	-0.112267,-0.005857	-0.012267,-0.005857	-0.000030,0.000040	-0.112237,-0.005898	-0.012237,-0.005898	0.000000,0.000000
2818.382931	0.100000,0.000000	-0.110005,-0.003936	-0.010004,-0.003936	0.000052,0.000007	-0.110057,-0.003944	-0.010057,-0.003944	0.000000,0.000000
3162.277660	0.100000,0.000000	-0.108211,-0.002565	-0.008211,-0.002565	-0.000026,0.000029	-0.108184,-0.002595	-0.008184,-0.002595	0.000000,0.000000
3548.133892	0.100000,0.000000	-0.106636,-0.001619	-0.006636,-0.001619	-0.000016,0.000034	-0.106619,-0.001653	-0.006619,-0.001653	0.000000,0.000000
3981.071706	0.100000,0.000000	-0.105288,-0.001032	-0.005288,-0.001032	0.000023,-0.000034	-0.105311,-0.000998	-0.005311,-0.000998	0.000000,0.000000
4466.835922	0.100000,0.000000	-0.104257,-0.000558	-0.004257,-0.000558	-0.000004,0.000004	-0.104253,-0.000562	-0.004252,-0.000562	0.000000,0.000000
5011.872336	0.100000,0.000000	-0.103369,-0.000279	-0.003368,-0.000279	0.000015,-0.000016	-0.103384,-0.000263	-0.003383,-0.000263	0.000000,0.000000
5623.413252	0.100000,0.000000	-0.102684,-0.000040	-0.002683,-0.000040	0.000004,0.000031	-0.102688,-0.000071	-0.002688,-0.000071	0.000000,0.000000
6309.573445	0.100000,0.000000	-0.102129,0.000049	-0.002129,0.000049	-0.000004,0.000000	-0.102125,0.000049	-0.002124,0.000049	0.000000,0.000000
7079.457844	0.100000,0.000000	-0.101673,0.000123	-0.001672,0.000123	-0.000000,-0.000000	-0.101672,0.000124	-0.001672,0.000124	0.000000,0.000000
7943.282347	0.100000,0.000000	-0.101351,0.000191	-0.001350,0.000191	-0.000039,0.000025	-0.101312,0.000165	-0.001311,0.000165	0.000000,0.000000
8912.509381	0.100000,0.000000	-0.101028,0.000183	-0.001027,0.000183	-0.000002,-0.000000	-0.101025,0.000183	-0.001025,0.000183	0.000000,0.000000
